"id","name","artist","album artist","album","location"
"643","Cocaine Habit","Old Crow Medicine Show","Old Crow Medicine Show","Big Iron World","\Users\glen\Music\iTunes\iTunes Music\Old Crow Medicine Show\Big Iron World\02 Cocaine Habit.mp3"
"1643","Cocaine Habit","Old Crow Medicine Show","Old Crow Medicine Show","Big Iron World","\Users\glen\Music\iTunes\iTunes Music\Old Crow Medicine Show\Big Iron World\02 Cocaine Habit.mp3"
"1043","Groove Holmes","Beastie Boys","Beastie Boys","The In Sound From Way Out!","P:\FANTOM HDS721010CLA332\Music\My Music\Beastie Boys\The In Sound From Way Out!\01 - Beastie Boys - Groove Holmes.mp3"
"1045","Test2","Beastie Boys","Beastie Boys","The In Sound From Way Out!","P:\FANTOM HDS721010CLA332\Music\My Music\Beastie Boys\The In Sound From Way Out!\02 - Beastie Boys - Sabrosa.mp3"
